2013/10/14 8:27:0,-5,017,004,-4.0,1612
2013/10/14 8:32:0,-5,017,001,33.4,1614
2013/10/14 8:32:0,-5,017,002,25.7,1619
2013/10/14 8:32:0,-5,017,003,33.7,1619
2013/10/14 8:32:0,-5,017,004,-4.2,1610
2013/10/14 8:37:0,-5,017,001,32.2,1616
2013/10/14 8:37:0,-5,017,002,24.7,1623
2013/10/14 8:37:0,-5,017,003,32.7,1623
2013/10/14 8:37:0,-5,017,004,-5.0,1614
2013/10/14 8:42:0,-5,017,001,30.7,1615
2013/10/14 8:42:0,-5,017,002,22.8,1618
2013/10/14 8:42:0,-5,017,003,31.4,1615
2013/10/14 8:42:0,-5,017,004,-5.8,1618
2013/10/14 8:47:0,-5,017,001,28.5,1625
2013/10/14 8:47:0,-5,017,002,20.7,1620
2013/10/14 8:47:0,-5,017,003,28.9,1631
2013/10/14 8:47:0,-5,017,004,-6.9,1625
2013/10/14 8:52:0,-5,017,001,24.7,1619
2013/10/14 8:52:0,-5,017,002,16.8,1622
2013/10/14 8:52:0,-5,017,003,25.1,1616
2013/10/14 8:52:0,-5,017,004,-8.9,1623
2013/10/14 8:57:0,-5,017,001,23.9,1625
2013/10/14 8:57:0,-5,017,002,15.7,1625
2013/10/14 8:57:0,-5,017,003,24.4,1623
2013/10/14 8:57:0,-5,017,004,-9.2,1622
2013/10/14 9:2:0,-5,017,001,16.4,1565
2013/10/14 9:2:0,-5,017,002,7.8,1522
2013/10/14 9:2:0,-5,017,003,16.7,1570
2013/10/14 9:2:0,-5,017,004,-13.0,1606
2013/10/14 9:7:0,-5,017,001,16.2,1568
2013/10/14 9:7:0,-5,017,002,7.7,1526
2013/10/14 9:7:0,-5,017,003,16.7,1575
2013/10/14 9:7:0,-5,017,004,-12.9,1619
2013/10/14 9:12:0,-5,017,001,15.1,1610
2013/10/14 9:12:0,-5,017,002,6.2,1564
2013/10/14 9:12:0,-5,017,003,15.2,1613
2013/10/14 9:12:0,-5,017,004,-13.8,1663
2013/10/14 9:17:0,-5,017,001,14.1,1614
2013/10/14 9:17:0,-5,017,002,5.3,1569
2013/10/14 9:17:0,-5,017,003,14.1,1616
2013/10/14 9:17:0,-5,017,004,-14.0,1661
2013/10/14 9:22:0,-5,017,001,13.9,1617
2013/10/14 9:22:0,-5,017,002,5.0,1562
2013/10/14 9:22:0,-5,017,003,14.1,1612
2013/10/14 9:22:0,-5,017,004,-14.3,1660
2013/10/14 9:27:0,-5,017,001,14.1,1615
2013/10/14 9:27:0,-5,017,002,5.4,1571
2013/10/14 9:27:0,-5,017,003,14.4,1620
2013/10/14 9:27:0,-5,017,004,-14.1,1663
2013/10/14 9:32:0,-5,017,001,15.1,1612
2013/10/14 9:32:0,-5,017,002,6.2,1566
2013/10/14 9:32:0,-5,017,003,15.4,1617
2013/10/14 9:32:0,-5,017,004,-13.8,1665
2013/10/14 9:37:1,-5,017,001,14.7,1623
2013/10/14 9:37:1,-5,017,002,6.2,1572
2013/10/14 9:37:1,-5,017,003,14.9,1627
2013/10/14 9:37:1,-5,017,004,-13.9,1672
2013/10/14 9:42:0,-5,017,001,13.9,1619
2013/10/14 9:42:0,-5,017,002,5.3,1567
2013/10/14 9:42:0,-5,017,003,14.1,1614
2013/10/14 9:42:0,-5,017,004,-14.3,1662
2013/10/14 9:47:1,-5,017,001,13.5,1621
2013/10/14 9:47:1,-5,017,002,4.9,1578
2013/10/14 9:47:1,-5,017,003,14.1,1620
2013/10/14 9:47:1,-5,017,004,-14.5,1670
2013/10/14 9:52:0,-5,017,001,12.8,1618
2013/10/14 9:52:0,-5,017,002,4.0,1564
2013/10/14 9:52:0,-5,017,003,12.9,1621
2013/10/14 9:52:0,-5,017,004,-14.7,1667
2013/10/14 9:57:0,-5,017,001,10.7,1620
2013/10/14 9:57:0,-5,017,002,1.7,1573
2013/10/14 9:57:0,-5,017,003,11.0,1616
2013/10/14 9:57:0,-5,017,004,-15.9,1675
2013/10/14 10:2:0,-5,017,001,9.4,1559
2013/10/14 10:2:0,-5,017,002,0.5,1552
